"id","acronym","red","green","blue","graph_order","id","acronym"
178,"LGv",255,144,159,619,549,"TH"
321,"SubG",255,144,159,622,549,"TH"
483,"MH",255,144,159,624,549,"TH"
186,"LH",255,144,159,625,549,"TH"
390,"SO",255,93,80,629,1097,"HY"
332,"ASO",255,93,80,630,1097,"HY"
38,"PVH",255,93,80,632,1097,"HY"
30,"PVa",255,93,80,643,1097,"HY"
118,"PVi",255,93,80,644,1097,"HY"
223,"ARH",255,93,80,645,1097,"HY"
72,"ADP",255,85,71,647,1097,"HY"
263,"AVP",255,85,71,649,1097,"HY"
272,"AVPV",255,85,71,650,1097,"HY"
830,"DMH",255,85,71,651,1097,"HY"
452,"MEPO",255,85,71,655,1097,"HY"
523,"MPO",255,85,71,656,1097,"HY"
763,"OV",255,85,71,657,1097,"HY"
914,"PD",255,85,71,658,1097,"HY"
1109,"PS",255,85,71,659,1097,"HY"
126,"PVp",255,85,71,661,1097,"HY"
133,"PVpo",255,85,71,662,1097,"HY"
347,"SBPV",255,85,71,663,1097,"HY"
286,"SCH",255,85,71,664,1097,"HY"
338,"SFO",255,85,71,665,1097,"HY"
689,"VLPO",255,85,71,666,1097,"HY"
88,"AHN",255,76,62,668,1097,"HY"
210,"LM",255,76,62,674,1097,"HY"
491,"MM",255,76,62,675,1097,"HY"
525,"SUM",255,76,62,677,1097,"HY"
1126,"TMd",255,76,62,681,1097,"HY"
1,"TMv",255,76,62,682,1097,"HY"
515,"MPN",255,76,62,683,1097,"HY"
980,"PMd",255,76,62,687,1097,"HY"
1004,"PMv",255,76,62,688,1097,"HY"
63,"PVHd",255,76,62,689,1097,"HY"
693,"VMH",255,76,62,694,1097,"HY"
946,"PH",255,76,62,699,1097,"HY"
194,"LHA",242,72,59,701,1097,"HY"
226,"LPO",242,72,59,702,1097,"HY"
356,"PST",242,72,59,703,1097,"HY"
364,"PSTN",242,72,59,704,1097,"HY"
173,"RCH",242,72,59,705,1097,"HY"
470,"STN",242,72,59,706,1097,"HY"
614,"TU",242,72,59,707,1097,"HY"
797,"ZI",242,72,59,708,1097,"HY"
302,"SCs",255,122,255,714,313,"MB"
811,"ICc",255,122,255,719,313,"MB"
820,"ICd",255,122,255,720,313,"MB"
828,"ICe",255,122,255,721,313,"MB"
580,"NB",255,122,255,722,313,"MB"
271,"SAG",255,122,255,723,313,"MB"
874,"PBG",255,122,255,724,313,"MB"
460,"MEV",255,122,255,725,313,"MB"
381,"SNr",255,144,255,727,313,"MB"
749,"VTA",255,144,255,728,313,"MB"
246,"RR",255,144,255,729,313,"MB"
128,"MRN",255,144,255,730,313,"MB"
294,"SCm",255,144,255,734,313,"MB"
795,"PAG",255,144,255,742,313,"MB"
215,"APN",255,144,255,747,313,"MB"
531,"MPT",255,144,255,748,313,"MB"
628,"NOT",255,144,255,749,313,"MB"
634,"NPC",255,144,255,750,313,"MB"
706,"OP",255,144,255,751,313,"MB"
1061,"PPT",255,144,255,752,313,"MB"
616,"CUN",255,144,255,753,313,"MB"
214,"RN",255,144,255,754,313,"MB"
35,"III",255,144,255,755,313,"MB"
975,"EW",255,144,255,756,313,"MB"
115,"IV",255,144,255,757,313,"MB"
757,"VTN",255,144,255,758,313,"MB"
231,"AT",255,144,255,759,313,"MB"
66,"LT",255,144,255,760,313,"MB"
374,"SNc",255,166,255,765,313,"MB"
1052,"PPN",255,166,255,766,313,"MB"
12,"IF",255,166,255,768,313,"MB"
100,"IPN",255,166,255,769,313,"MB"
197,"RL",255,166,255,770,313,"MB"
591,"CLI",255,166,255,771,313,"MB"
872,"DR",255,166,255,772,313,"MB"
612,"NLL",255,174,111,776,771,"P"
7,"PSV",255,174,111,780,771,"P"
867,"PB",255,174,111,781,771,"P"
398,"SOC",255,174,111,793,771,"P"
280,"B",255,186,134,798,771,"P"
880,"DTN",255,186,134,799,771,"P"
898,"PCG",255,186,134,801,771,"P"
931,"PG",255,186,134,802,771,"P"
1093,"PRNc",255,186,134,803,771,"P"
318,"SG",255,186,134,805,771,"P"
534,"SUT",255,186,134,807,771,"P"
574,"TRN",255,186,134,808,771,"P"
621,"V",255,186,134,809,771,"P"
679,"CS",255,195,149,811,771,"P"
147,"LC",255,195,149,814,771,"P"
162,"LDT",255,195,149,815,771,"P"
604,"NI",255,195,149,816,771,"P"
146,"PRNr",255,195,149,817,771,"P"
238,"RPO",255,195,149,818,771,"P"
350,"SLC",255,195,149,819,771,"P"
358,"SLD",255,195,149,820,771,"P"
207,"AP",255,165,210,823,354,"MY"
96,"DCO",255,165,210,827,354,"MY"
101,"VCO",255,165,210,828,354,"MY"
711,"CU",255,165,210,830,354,"MY"
1039,"GR",255,165,210,831,354,"MY"
903,"ECU",255,165,210,832,354,"MY"
642,"NTB",255,165,210,833,354,"MY"
651,"NTS",255,165,210,834,354,"MY"
429,"SPVC",255,165,210,840,354,"MY"
437,"SPVI",255,165,210,841,354,"MY"
445,"SPVO",255,165,210,842,354,"MY"
653,"VI",255,179,217,850,354,"MY"
661,"VII",255,179,217,852,354,"MY"
576,"ACVII",255,179,217,853,354,"MY"
135,"AMB",255,179,217,855,354,"MY"
839,"DMX",255,179,217,858,354,"MY"
1048,"GRN",255,179,217,860,354,"MY"
372,"ICB",255,179,217,861,354,"MY"
83,"IO",255,179,217,862,354,"MY"
136,"IRN",255,179,217,863,354,"MY"
106,"ISN",255,179,217,864,354,"MY"
203,"LIN",255,179,217,865,354,"MY"
235,"LRN",255,179,217,866,354,"MY"
307,"MARN",255,179,217,869,354,"MY"
1098,"MDRNd",255,179,217,871,354,"MY"
1107,"MDRNv",255,179,217,872,354,"MY"
852,"PARN",255,179,217,873,354,"MY"
859,"PAS",255,179,217,874,354,"MY"
970,"PGRNd",255,179,217,876,354,"MY"
978,"PGRNl",255,179,217,877,354,"MY"
177,"NR",255,179,217,880,354,"MY"
169,"PRP",255,179,217,881,354,"MY"
1069,"PPY",255,179,217,883,354,"MY"
209,"LAV",255,179,217,887,354,"MY"
202,"MV",255,179,217,888,354,"MY"
225,"SPIV",255,179,217,889,354,"MY"
217,"SUV",255,179,217,890,354,"MY"
765,"x",255,179,217,891,354,"MY"
773,"XII",255,179,217,892,354,"MY"
781,"y",255,179,217,893,354,"MY"
206,"RM",255,198,226,896,354,"MY"
230,"RPA",255,198,226,897,354,"MY"
222,"RO",255,198,226,898,354,"MY"
912,"LING",255,252,145,902,512,"CB"
920,"CENT",255,252,145,906,512,"CB"
928,"CUL",255,252,145,915,512,"CB"
936,"DEC",255,252,145,928,512,"CB"
944,"FOTU",255,252,145,932,512,"CB"
951,"PYR",255,252,145,936,512,"CB"
957,"UVU",255,252,145,940,512,"CB"
968,"NOD",255,252,145,944,512,"CB"
1007,"SIM",255,252,145,949,512,"CB"
1017,"AN",255,252,145,953,512,"CB"
1025,"PRM",255,252,145,962,512,"CB"
1033,"COPY",255,252,145,966,512,"CB"
1041,"PFL",255,252,145,970,512,"CB"
1049,"FL",255,252,145,974,512,"CB"
989,"FN",255,253,188,982,512,"CB"
91,"IP",255,253,188,983,512,"CB"
846,"DN",255,253,188,984,512,"CB"
