"id","acronym","graph_order","red","green","blue","graph_order","parent_id","parent_acronym"
433,"VISam5",158,8,133,140,158,394,"VISam"
1046,"VISam6a",159,8,133,140,159,394,"VISam"
441,"VISam6b",160,8,133,140,160,394,"VISam"
421,"VISl1",162,8,133,140,162,409,"VISl"
973,"VISl23",163,8,133,140,163,409,"VISl"
573,"VISl4",164,8,133,140,164,409,"VISl"
613,"VISl5",165,8,133,140,165,409,"VISl"
74,"VISl6a",166,8,133,140,166,409,"VISl"
121,"VISl6b",167,8,133,140,167,409,"VISl"
593,"VISp1",169,8,133,140,169,385,"VISp"
821,"VISp2/3",170,8,133,140,170,385,"VISp"
721,"VISp4",171,8,133,140,171,385,"VISp"
778,"VISp5",172,8,133,140,172,385,"VISp"
33,"VISp6a",173,8,133,140,173,385,"VISp"
305,"VISp6b",174,8,133,140,174,385,"VISp"
750,"VISpl1",176,8,133,140,176,425,"VISpl"
269,"VISpl2/3",177,8,133,140,177,425,"VISpl"
869,"VISpl4",178,8,133,140,178,425,"VISpl"
902,"VISpl5",179,8,133,140,179,425,"VISpl"
377,"VISpl6a",180,8,133,140,180,425,"VISpl"
393,"VISpl6b",181,8,133,140,181,425,"VISpl"
805,"VISpm1",183,8,133,140,183,533,"VISpm"
41,"VISpm2/3",184,8,133,140,184,533,"VISpm"
501,"VISpm4",185,8,133,140,185,533,"VISpm"
565,"VISpm5",186,8,133,140,186,533,"VISpm"
257,"VISpm6a",187,8,133,140,187,533,"VISpm"
469,"VISpm6b",188,8,133,140,188,533,"VISpm"
935,"ACAd1",196,64,166,102,196,39,"ACAd"
211,"ACAd2/3",197,64,166,102,197,39,"ACAd"
1015,"ACAd5",198,64,166,102,198,39,"ACAd"
919,"ACAd6a",199,64,166,102,199,39,"ACAd"
927,"ACAd6b",200,64,166,102,200,39,"ACAd"
588,"ACAv1",202,64,166,102,202,48,"ACAv"
296,"ACAv2/3",203,64,166,102,203,48,"ACAv"
772,"ACAv5",204,64,166,102,204,48,"ACAv"
171,"PL1",208,47,168,80,208,972,"PL"
195,"PL2",209,47,168,80,209,972,"PL"
304,"PL2/3",210,47,168,80,210,972,"PL"
363,"PL5",211,47,168,80,211,972,"PL"
84,"PL6a",212,47,168,80,212,972,"PL"
132,"PL6b",213,47,168,80,213,972,"PL"
707,"ILA1",215,89,179,99,215,44,"ILA"
747,"ILA2",216,89,179,99,216,44,"ILA"
556,"ILA2/3",217,89,179,99,217,44,"ILA"
827,"ILA5",218,89,179,99,218,44,"ILA"
1054,"ILA6a",219,89,179,99,219,44,"ILA"
1081,"ILA6b",220,89,179,99,220,44,"ILA"
448,"ORBl1",228,36,138,94,228,723,"ORBl"
412,"ORBl2/3",229,36,138,94,229,723,"ORBl"
630,"ORBl5",230,36,138,94,230,723,"ORBl"
440,"ORBl6a",231,36,138,94,231,723,"ORBl"
488,"ORBl6b",232,36,138,94,232,723,"ORBl"
484,"ORBm1",234,36,138,94,234,731,"ORBm"
524,"ORBm2",235,36,138,94,235,731,"ORBm"
582,"ORBm2/3",236,36,138,94,236,731,"ORBm"
620,"ORBm5",237,36,138,94,237,731,"ORBm"
910,"ORBm6a",238,36,138,94,238,731,"ORBm"
969,"ORBvl1",241,36,138,94,241,746,"ORBvl"
288,"ORBvl2/3",242,36,138,94,242,746,"ORBvl"
1125,"ORBvl5",243,36,138,94,243,746,"ORBvl"
608,"ORBvl6a",244,36,138,94,244,746,"ORBvl"
680,"ORBvl6b",245,36,138,94,245,746,"ORBvl"
996,"AId1",248,33,152,102,248,104,"AId"
328,"AId2/3",249,33,152,102,249,104,"AId"
1101,"AId5",250,33,152,102,250,104,"AId"
783,"AId6a",251,33,152,102,251,104,"AId"
831,"AId6b",252,33,152,102,252,104,"AId"
120,"AIp1",254,33,152,102,254,111,"AIp"
163,"AIp2/3",255,33,152,102,255,111,"AIp"
344,"AIp5",256,33,152,102,256,111,"AIp"
314,"AIp6a",257,33,152,102,257,111,"AIp"
355,"AIp6b",258,33,152,102,258,111,"AIp"
704,"AIv1",260,33,152,102,260,119,"AIv"
694,"AIv2/3",261,33,152,102,261,119,"AIv"
800,"AIv5",262,33,152,102,262,119,"AIv"
675,"AIv6a",263,33,152,102,263,119,"AIv"
699,"AIv6b",264,33,152,102,264,119,"AIv"
671,"RSPagl1",267,26,166,152,267,894,"RSPagl"
965,"RSPagl2/3",268,26,166,152,268,894,"RSPagl"
774,"RSPagl5",269,26,166,152,269,894,"RSPagl"
906,"RSPagl6a",270,26,166,152,270,894,"RSPagl"
279,"RSPagl6b",271,26,166,152,271,894,"RSPagl"
442,"RSPd1",273,26,166,152,273,879,"RSPd"
434,"RSPd2/3",274,26,166,152,274,879,"RSPd"
545,"RSPd4",275,26,166,152,275,879,"RSPd"
610,"RSPd5",276,26,166,152,276,879,"RSPd"
274,"RSPd6a",277,26,166,152,277,879,"RSPd"
330,"RSPd6b",278,26,166,152,278,879,"RSPd"
542,"RSPv1",280,26,166,152,280,886,"RSPv"
606,"RSPv2",281,26,166,152,281,886,"RSPv"
430,"RSPv2/3",282,26,166,152,282,886,"RSPv"
687,"RSPv5",283,26,166,152,283,886,"RSPv"
590,"RSPv6a",284,26,166,152,284,886,"RSPv"
622,"RSPv6b",285,26,166,152,285,886,"RSPv"
532,"PTLp1",287,0,159,172,287,22,"PTLp"
241,"PTLp2/3",288,0,159,172,288,22,"PTLp"
635,"PTLp4",289,0,159,172,289,22,"PTLp"
683,"PTLp5",290,0,159,172,290,22,"PTLp"
308,"PTLp6a",291,0,159,172,291,22,"PTLp"
340,"PTLp6b",292,0,159,172,292,22,"PTLp"
97,"TEa1",294,21,176,179,294,541,"TEa"
1127,"TEa2/3",295,21,176,179,295,541,"TEa"
234,"TEa4",296,21,176,179,296,541,"TEa"
289,"TEa5",297,21,176,179,297,541,"TEa"
729,"TEa6a",298,21,176,179,298,541,"TEa"
786,"TEa6b",299,21,176,179,299,541,"TEa"
335,"PERI6a",301,14,150,132,301,922,"PERI"
368,"PERI6b",302,14,150,132,302,922,"PERI"
540,"PERI1",303,14,150,132,303,922,"PERI"
692,"PERI5",304,14,150,132,304,922,"PERI"
888,"PERI2/3",305,14,150,132,305,922,"PERI"
836,"ECT1",307,13,159,145,307,895,"ECT"
427,"ECT2/3",308,13,159,145,308,895,"ECT"
988,"ECT5",309,13,159,145,309,895,"ECT"
977,"ECT6a",310,13,159,145,310,895,"ECT"
1045,"ECT6b",311,13,159,145,311,895,"ECT"
