"id","acronym","red","green","blue","graph_order"
100,"IPN",255,166,255,769
197,"RL",255,166,255,770
591,"CLI",255,166,255,771
872,"DR",255,166,255,772
612,"NLL",255,174,111,776
7,"PSV",255,174,111,780
867,"PB",255,174,111,781
398,"SOC",255,174,111,793
280,"B",255,186,134,798
880,"DTN",255,186,134,799
898,"PCG",255,186,134,801
931,"PG",255,186,134,802
1093,"PRNc",255,186,134,803
318,"SG",255,186,134,805
534,"SUT",255,186,134,807
574,"TRN",255,186,134,808
621,"V",255,186,134,809
679,"CS",255,195,149,811
147,"LC",255,195,149,814
162,"LDT",255,195,149,815
604,"NI",255,195,149,816
146,"PRNr",255,195,149,817
238,"RPO",255,195,149,818
350,"SLC",255,195,149,819
358,"SLD",255,195,149,820
207,"AP",255,165,210,823
96,"DCO",255,165,210,827
101,"VCO",255,165,210,828
711,"CU",255,165,210,830
1039,"GR",255,165,210,831
903,"ECU",255,165,210,832
642,"NTB",255,165,210,833
651,"NTS",255,165,210,834
429,"SPVC",255,165,210,840
437,"SPVI",255,165,210,841
445,"SPVO",255,165,210,842
653,"VI",255,179,217,850
661,"VII",255,179,217,852
576,"ACVII",255,179,217,853
135,"AMB",255,179,217,855
839,"DMX",255,179,217,858
1048,"GRN",255,179,217,860
372,"ICB",255,179,217,861
83,"IO",255,179,217,862
136,"IRN",255,179,217,863
106,"ISN",255,179,217,864
203,"LIN",255,179,217,865
235,"LRN",255,179,217,866
307,"MARN",255,179,217,869
1098,"MDRNd",255,179,217,871
1107,"MDRNv",255,179,217,872
852,"PARN",255,179,217,873
859,"PAS",255,179,217,874
970,"PGRNd",255,179,217,876
978,"PGRNl",255,179,217,877
177,"NR",255,179,217,880
169,"PRP",255,179,217,881
1069,"PPY",255,179,217,883
209,"LAV",255,179,217,887
202,"MV",255,179,217,888
225,"SPIV",255,179,217,889
217,"SUV",255,179,217,890
765,"x",255,179,217,891
773,"XII",255,179,217,892
781,"y",255,179,217,893
206,"RM",255,198,226,896
230,"RPA",255,198,226,897
222,"RO",255,198,226,898
912,"LING",255,252,145,902
920,"CENT",255,252,145,906
928,"CUL",255,252,145,915
936,"DEC",255,252,145,928
944,"FOTU",255,252,145,932
951,"PYR",255,252,145,936
957,"UVU",255,252,145,940
968,"NOD",255,252,145,944
1007,"SIM",255,252,145,949
1017,"AN",255,252,145,953
1025,"PRM",255,252,145,962
1033,"COPY",255,252,145,966
1041,"PFL",255,252,145,970
1049,"FL",255,252,145,974
989,"FN",255,253,188,982
91,"IP",255,253,188,983
846,"DN",255,253,188,984
